"","applicantId","total","disasterNumber","state","applicantName","addressLine1","addressLine2","city","zipCode","hash","lastRefresh","id"
"1","119-50450-00",6678819.9,4441,"Arkansas","NORTH LITTLE ROCK","300 N. Main Street",NA,"North Little Rock","72114-0000","e3fae7df9bef499ca6cafbbbfbf5eab5",2020-03-04 20:33:59,"5e6010b79fec19281363e68c"
"2","119-0221C-00",2756253.13,4441,"Arkansas","NORTH LITTLE ROCK WASTE WATER","7400 Baucum Pike Road",NA,"North Little Rock","72117-0000","fa3d06943f88aea024496dafa009ce81",2020-01-09 15:32:40,"5e17479809e7c62f74dbdead"
"3","000-URKLW-00",2360322.59,4441,"Arkansas","ARKANSAS DEPARTMENT OF EMERGENCY MANAGEMENT","Camp Jospeh T. Robinson, Building 9501",NA,"North Little Rock","72199-0000","56cecf9c17305cda8a64b63252eda8e5",2019-10-10 19:42:10,"5d4b2bddf8b90136656a56cf"
"4","119-UTJ4D-00",1688725.46,4441,"Arkansas","RIVERDALE LEVEE INPROVEMENT DISTRICT NO. 134","2101 Riverfront Drive",NA,"Little Rock","72202-0000","a9a7216b10311d8e44b3e44285311ff2",2020-02-19 20:59:55,"5e4da1cb9fec192813563ccb"
"5","105-99105-00",1414697.41,4441,"Arkansas","PERRY (COUNTY)","310 West Main Street",NA,"Perryville","72126-0000","69aa827d81bdfc378121a015838c3ecc",2019-11-18 20:51:47,"5dd304638ca22d24d418a03a"
"6","119-UIBRR-00",1266504.75,4441,"Arkansas","RIVERDALE HARBOUR MUNICIPAL PROP OWNERS IMPR DIS 1","2101 Riverfront Drive",NA,"Little Rock","72202-0000","64800bc018c529c61ec5dda261ff6c00",2020-04-01 17:04:05,"5e84c985d7f69950ebb28a59"
"7","069-55310-00",1005644.15,4441,"Arkansas","PINE BLUFF","200 East 8th Avenue",NA,"Pine Bluff","71601-0000","8830fb50b7dbde407a676ba00a32e4d8",2019-10-08 19:32:33,"5d9ce4512c329b6f980466ec"
"8","045-44750-00",929516.93,4441,"Arkansas","MAYFLOWER","2 Ashmore Street",NA,"Mayflower","72106-0000","d57aac2144f82e39294aed4ffe045d44",2020-01-09 15:32:40,"5e17479809e7c62f74dbdeac"
"9","041-99041-00",796133.32,4441,"Arkansas","DESHA (COUNTY)","604 Robert S Moore",NA,"Arkansas City","71630-0000","47324f8e7910bf1760194bc9a1bc1dbb",2019-11-18 20:51:47,"5dd304638ca22d24d418a038"
"10","129-99129-00",725321.82,4441,"Arkansas","SEARCY (COUNTY)","200 Highway 27 S",NA,"Marshall","72650-0000","b8d706f4d9dd3345e4a49c0ce19a46bc",2020-01-15 20:35:07,"5e1f777b90d4f74386d6ab64"
"11","047-99047-00",665655.39,4441,"Arkansas","FRANKLIN (COUNTY)","211 W Commercial St",NA,"Ozark","72949-0000","fcb2f39d90f53d320c97e4779d5c6626",2019-10-26 07:27:47,"5db3f5738b214908048a75ff"
"12","149-17380-00",658852.68,4441,"Arkansas","DARDANELLE","120 N. Front Street",NA,"Dardanelle","72834-0000","c1b9be0de938d26c1a581f37c35a8135",2019-10-10 19:42:10,"5d8bc0cb3bd9d01d21c997f0"
"13","033-UXV9X-00",649708.11,4441,"Arkansas","CRAWFORD COUNTY HIGHWAY DEPARTMENT","3703 Pointer Trail East",NA,"Van Buren","72956-0000","ac62500d46a0a6d38b8dd73337dfc0f2",2019-10-10 19:42:10,"5d9ce4512c329b6f980466e8"
"14","000-U0BXX-00",649204.3,4441,"Arkansas","ARKANSAS STATE MILITARY DEPARTMENT","Building 4201, Box 28 Camp Joseph T Robinson",NA,"North Little Rock","72199-0000","c30023dd113fa783931b426df9758f04",2020-03-04 20:33:59,"5e6010b79fec19281363e68e"
"15","000-UVKMF-00",594195.42,4441,"Arkansas","LITTLE ROCK PORT AUTHORITY","Industrial Harbor Drive",NA,"Little Rock","72206-0000","a46e08d17e4fde8009e5385f751d7190",2019-12-18 20:33:02,"5dfa8cfe44d9812d16064736"
"16","000-U2TVF-00",488397.6,4441,"Arkansas","ARKANSAS GAME & FISH COMMISSION","2 Natural Resourses Drive",NA,"Little Rock","72205-0000","315d6c2d06e92da7ecdbf609fd086cc3",2019-11-23 20:33:52,"5dd997b08c4b135dd0f3ac91"
"17","029-99029-00",479068.07,4441,"Arkansas","CONWAY (COUNTY)","117 S Moose Suite 203",NA,"Morrilton","72110-0000","b8c237a5fa1d3cce3084c9044c34b09a",2019-12-05 20:33:54,"5de969b2711e242dc8b44848"
"18","119-41000-00",461834.93,4441,"Arkansas","LITTLE ROCK","500 West Markham",NA,"Little Rock","72201-0000","f177d1fd84bf193b82afce3fc125ebf0",2019-12-05 20:33:54,"5de969b2711e242dc8b44846"
"19","131-03640-00",403147.49,4441,"Arkansas","BARLING","307 Fort Street",NA,"Barling","72923-0000","17ffbe03ea914a4e3c07775a650f25c1",2019-10-10 19:42:10,"5d9ce4512c329b6f980466e9"
"20","131-U09KM-00",286125.5,4441,"Arkansas","FORT SMITH PORT AUTHORITY, CITY OF","200 Navy Road",NA,"Fort Smith","72903-0000","3538827dcd18e8b9a05e6354f35f8bc7",2020-01-09 15:32:40,"5e17479809e7c62f74dbdeae"
"21","131-24550-00",285881.94,4441,"Arkansas","FORT SMITH","623 Garrison Ave",NA,"Fort Smith","72901-0000","dd01575e4bc1d030cf8fd7fac582e7ac",2020-01-15 20:35:07,"5e1f777b90d4f74386d6ab66"
"22","069-U9XY5-00",279528.35,4441,"Arkansas","PINE BLUFF WASTEWATER UTILITY","1520 South Ohio Street",NA,"Pine Bluff","71601-0000","fe09073d8b858acae65e5182a265226c",2019-11-20 20:34:14,"5dd5a3468ca22d24d41e0e47"
"23","149-99149-00",274320.8,4441,"Arkansas","YELL (COUNTY)","101 East 5th St",NA,"Danville","72833-0000","865d2663864dd67170fbf38f80e4461e",2019-10-10 19:42:10,"5d9ce4512c329b6f980466e7"
"24","000-UDQGP-00",242527.04,4441,"Arkansas","ARKANSAS DEPARTMENT OF FINANCE AND ADMINISTRATION","1515 W 7th St",NA,"Little Rock","72201-0000","6409cd50fd886490eedbedac93704bb1",2020-02-21 20:59:26,"5e5044ae9fec1928135dc28a"
"25","045-99045-01",220971.83,4441,"Arkansas","FAULKNER (COUNTY)","65 Acklin Gap Road",NA,"Conway","72032-0000","1f1c3970fdf7dc5879b572329b59fadd",2019-10-20 14:30:42,"5dac6f926bb61c10013e8aea"
"26","069-99069-00",184552.12,4441,"Arkansas","JEFFERSON (COUNTY)","101 West Barraque",NA,"Pine Bluff","71601-0000","a8eaf724d77b03925137033f5b53a534",2019-12-10 20:33:35,"5df0011f44d9812d16e81fa3"
